;snr;psnr;nmse;ssim;ncc;reduce;model;dataset;epoch;model name;learning rate;batch size;dataset name
22;13.885578349815317;-0.7932578353417453;0.05654666472769799;0.863604971631082;0.9744837253039235;mean;ROBUST;train;500;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
23;14.143441493147536;-0.7694064381880905;0.038517301984108916;0.9029228099223838;0.9815258538625292;median;ROBUST;train;500;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
24;13.544328800075737;-1.3057563813438187;0.2891244589996958;0.8298367138610367;0.9654568420570929;mean;ROBUST;test;600;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
25;13.925650379042374;-1.0224436202130138;0.04049814041164068;0.8816383062699482;0.980353003697485;median;ROBUST;test;600;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
26;13.95728136658923;-0.899145028269098;0.056106641909462816;0.850553029060166;0.9744560883824651;mean;ROBUST;train;600;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
27;14.204235653883472;-0.8582941173260824;0.037981879193475426;0.8898588186532901;0.9816094265072248;median;ROBUST;train;600;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
28;13.546919428225513;-1.2300535598171471;0.23986881138502295;0.8488549493294527;0.9669130435351571;mean;ROBUST;test;700;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
29;13.951143489747558;-1.0239948794902038;0.04026110203396079;0.9063013765454689;0.9803020590824931;median;ROBUST;test;700;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
30;13.865086122905861;-0.9152231803768953;0.06047898892508752;0.8660662652239043;0.9743030102764266;mean;ROBUST;train;700;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
31;14.219440558953881;-0.8319428167544978;0.03784915943565911;0.9145869919817831;0.9816052880874865;median;ROBUST;train;700;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
32;13.71770243323347;-1.3313977776121928;0.28275235215508204;0.830100822909405;0.9669628195196323;mean;ROBUST;test;800;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
33;14.103726437354496;-1.0521584885690107;0.03887114735854333;0.880274429747923;0.9811017662294519;median;ROBUST;test;800;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
34;14.126971234605314;-0.9091996817118893;0.05098521045981274;0.8527429530176674;0.9759014843719847;mean;ROBUST;train;800;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
35;14.376053340040908;-0.9213468354422176;0.03650856603088211;0.8964077513360231;0.9820469070258746;median;ROBUST;train;800;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
36;13.776922878502598;-1.4245417296070955;0.27122841661807007;0.8276476067313293;0.9674442166601673;mean;ROBUST;test;900;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
37;14.13296423950036;-1.1190639294561917;0.03861033845769227;0.8792602883654521;0.981172926359084;median;ROBUST;test;900;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
38;14.212296362681734;-0.9816347917518956;0.04960913011267899;0.8522842360035371;0.9762746807137571;mean;ROBUST;train;900;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
39;14.477865340799507;-0.9874715575026074;0.03566269855823876;0.8949995296542579;0.982339943460489;median;ROBUST;train;900;mixture-0.0001;0.0001;64;/gpfs/users/mhiriy/Documents/EUSIPCO-23/unrolled/data/datasets/mixture_train.zip
